time,count,relation,value,units,text_value,comments
0 to infinity,5100,<=,,,infinity,
AUC (0 to 24 hrs),2406,<=,24,hr,,
AUC (0 to 6 hrs),1154,<=,6,hr,,
AUClast,1070,0,,,0 - last,
AUC (infinity),813,<=,,,infinity,
AUC (0 to 8 hrs),612,<=,8,hr,,
0 to last,454,0,,,0 - last,
after 24 hrs,331,<=,24,hr,,
AUC (0 to 4 hrs),298,<=,4,hr,,
up to 24 hrs,191,<=,24,hr,,
AUCinfinity,186,<=,,,infinity,
0-infinity,184,<=,,,infinity,
AUC (0 to 12 hrs),164,<=,12,hr,,
Total AUC,129,0,,,AUCmax,
after 6 hrs,123,<=,6,hr,,
upto 24 hrs,113,<=,24,hr,,
AUC (0 to 48 hrs),111,<=,48,hr,,
AUC (0 to 7 hrs),108,<=,7,hr,,
0.25 to 24 hrs,106,0,,hr,0.25 - 24,
AUC(infinity),97,<=,,,infinity,
0-24h,95,<=,24,hr,,
after 4 hrs,87,<=,4,hr,,
0-24 hr,80,<=,24,hr,,
0-6h,76,<=,6,hr,,
AUC (last),74,0,,,0 - last,
0-4 hr,73,<=,4,hr,,
0-6 hr,68,<=,6,hr,,
AUC (0 to 72 hrs),62,<=,72,hr,,
AUC(last),56,0,,,0 - last,
AUC inf,55,<=,,,infinity,
AUC (0 to 168 hrs),52,<=,168,hr,,
AUC (0 to 2 hrs),51,<=,2,hr,,
0 to 24 hrs,51,<=,24,hr,,
up to 4 hrs,50,<=,4,hr,,
0.5 to 6 hrs,44,0,,hr,0.5 - 6,
0 to 120 mins,44,<=,2,hr,,
after 8 hrs,44,<=,8,hr,,
AUC (24 hrs),43,<=,24,hr,,
AUC(0 to 24 hrs),41,<=,24,hr,,
6 hrs ,41,<=,6,hr,,
0-6 h,40,<=,6,hr,,
0-4h,37,<=,5,hr,,
AUC (0 to 6h),35,<=,6,hr,,
AUC (0 to 5 hrs),34,<=,4,hr,,
0-48 h,33,<=,48,hr,,
AUC (0 to 3 hrs),32,<=,3,hr,,
AUC infinity,31,<=,,,infinity,
during 10 hrs,30,<=,10,hr,,
AUC(0 to 8 hrs),28,<=,6,hr,,
up to 8 hrs,28,<=,8,hr,,
0-6 hrs,28,<=,6,hr,,
after 10 mins,26,<=,0.166666667,hr,,
after 3 hrs,26,<=,3,hr,,
AUC(0 to 6 hrs),25,<=,6,hr,,
AUC(0 to 2 hrs),24,<=,2,hr,,
AUCinf,24,<=,,,infinity,
AUC last,23,0,,,0 - last,
AUC(0 to 7 hrs),22,<=,7,hr,,
after 4 h,21,<=,4,hr,,
after 12 hrs,21,<=,12,hr,,
0-8 hr,20,<=,8,hr,,
over 4 hrs,20,<=,4,hr,,
0-inf,19,<=,,,infinity,
after 48 hrs,19,<=,48,hr,,
AUC (0 to 23 hrs),19,<=,23,hr,,
0 to 1.5 hrs,18,<=,1.5,hr,,
0-24hr,18,<=,24,hr,,
AUC (0 to 32 hrs),17,<=,32,hr,,
AUC (0 to 4h),17,<=,4,hr,,
